 	Adventist University of Africa, 	Nairobi
	Africa International University, 	Nairobi
	Africa Nazarene University, 	Nairobi
	Alupe University, 	Busia
	Amref International University, 	Nairobi
	Chuka University, 	Chuka
	Daystar University, 	Nairobi
	Dedan Kimathi University of Technology, 	Nyeri	
	Egerton University, 	Njoro
	Garissa University, 	Garissa
	Great Lakes University of Kisumu, 	Kisumu 	
	GRETSA University, 	Thika
 	Islamic University of Kenya, 	Kisaju
	Jaramogi Oginga Odinga University of Science and Technology, 	Bondo
	Jomo Kenyatta University of Agriculture and Technology, 	Nairobi
	Kabarak University, 	Nakuru
	KAG East University, 	Nairobi
	Kaimosi Friends University, 	Kaimosi
	Karatina University, 	Karatina
	KCA University, 	Nairobi
	Kenya Highlands University, 	Kericho
 	Kenya Methodist University, 	Meru
 	Kenyatta University, 	Nairobi
 	Kibabii University, 	Bungoma
 	Kirinyaga University, 	Kerugoya
 	Kisii University, 	Kisii
 	Laikipia University, 	Nyahururu
 	Lukenya University, 	Kambu
 	Maasai Mara University, 	Narok
 	Machakos University, 	Machakos
 	Management University of Africa, 	Nairobi
 	Maseno University, 	Maseno
	Masinde Muliro University of Science and Technology, 	Kakamega
 	Meru University of Science and Technology, 	Meru
	Moi University, 	Eldoret
	Mount Kenya University, 	Thika
 	Multimedia University of Kenya, 	Nairobi
	Murang'a University of Technology, 	Murang'a
 	Pan Africa Christian University, 	Nairobi
 	Pioneer International University, 	Nairobi
 	Pwani University, 	Kilifi
 	Riara University, 	Nairobi
 	Rongo University, 	Rongo
 	Scott Christian University, 	Machakos
 	South Eastern Kenya University, 	Kitui
 	St. Paul's University, 	Limuru
	Strathmore University, 	Nairobi
	Taita Taveta University, 	Voi
 	Tangaza University, 	Nairobi
 	Technical University of Kenya, 	Nairobi
	Technical University of Mombasa, 	Mombasa
	Tharaka University, 	Marimanti
	The Catholic University of Eastern Africa, 	Nairobi
	The Co-operative University of Kenya, 	Nairobi
	The East African University, 	Nairobi
 	The Presbyterian University of East Africa, 	Kikuyu
	Tom Mboya University, 	Homa Bay
	Umma University, 	Kajiado
	United States International University Africa, 	Nairobi
 	University of Eldoret, 	Eldoret
 	University of Embu, 	Embu
 	University of Kabianga, 	Kericho
	University of Nairobi, 	Nairobi
 	Uzima University, 	Kisumu
 	Zetech University, 	Ruiru
